Word	type	time	meaning	usage
prandicle	n	 1656 -1658	small meal	"In those years, she would take several prandicles during the course of each day."
prebition	n	 1656 -1656	"act of offering, showing or setting before"	The prebition of his treasure-find to the king earned him great honour and esteem.
pregnatress	n	 1765 -1765	female power that generates or gives birth to something	"As the pregnatress of our little group, her opinion was still highly regarded."
prescited	adj	 1400 -1660	foreknown or predestined for damnation; condemned	"If you believe some of us are prescited from birth, there is no reason to do good works."
primifluous	adj	 1657 -1657	that which flows first	"The primifluous wines of the evening were excellent, unlike the plonk served later."
privign	n	 1605 -1654	stepson	"Though he was only her privign, she always treated him as if he were her own child."
psalloid	adj	 1756 -1895	resembling a harp or stringed instrument	Her renown as a maker of psalloid instruments led to a position at the royal court.
psephograph	n	 1906 -1907	machine for automatically recording votes	These newfangled computers are no more reliable than an old-fashioned psephograph.
pseudisodomous	adj	 1601 -1850	style of wall construction using stones of different thickness	The use of pseudisodomous brickwork gives the room an antique feel.
ptochology	n	 1891 -1891	study of beggars and unemployment	"If we want to understand the roots of poverty, we must undertake work in ptochology."
pudify	v	 1656 -1656	to cause to be ashamed	"Your remarks do not pudify me, for you are as guilty of such offenses as I am!"
pugnastics	n	 1830 -1830	displays of pugilistic ability	Ali's pugnastics were much more impressive than his overly boastful showmanship.
pullarian	adj	 1652 -1652	of or pertaining to chicken or fowl	Our pullarian mascot was trampled by the opposing team's offensive line.
pyroleter	n	 1878 -1878	double-pump fire extinguisher that produces carbonic acid	The pyroleter was insufficient to combat the fire at the old library.
quadragintireme	n	 1799 -1799	vessel with forty rows of oars	He couldn't have reached the battle even if he had been commanding a quadragintireme.
quadrimular	adj	 1664 -1664	lasting for four years	The quadrimular interval between Olympiads is a long wait in terms of athletes' careers.
quaeritate	v	 1657 -1657	to question; to inquire	"If I might quaeritate, why are we headed in the wrong direction on the trail?"
quercivorous	adj	 1858 -1858	feeding on oak trees	The proliferation of quercivorous insects is a boon rather than a bane to the ecosystem.
quibbleism	n	 1836 -1836	practice of quibbling	"His carping and quibbleism earned him much scorn, a fact of which he was oblivious."
quotientive	adj	 1871 -1871	indicating how often	She set up the schedule using a quotientive formula to ensure fairness.
radicarian	adj	 1880 -1880	pertaining to the roots of words	A radicarian knowledge of Latin is of central importance for English etymology.
ramifactive	adj	 1766 -1766	developing into a branch; forming a branch	"Despite the infertility of the soil, the trees retained a limited ramifactive capacity."
recineration	n	 1657 -1683	second reduction to ashes	The recineration of his book manuscript in the second fire drove him over the edge.
redamancy	n	 1656 -1656	act of loving in return	"Despite his lack of redamancy, her passion for him was unabated for several years."
rendling	n	 1784 -1784	curdling or setting of cheese	Seeing the realization slowly dawn upon her was like witnessing the rendling of cheese.
resarciate	v	 1656 -1657	to mend; to make amends	She wanted to resarciate their friendship before it was damaged irreparably.
rhedarious	adj	 1656 -1656	of or serving as a carriage or chariot	His fancy for rhedarious transport was seen as old-fashioned by his friends.
rhodologist	n	 1911 -1924	one who studies and classifies roses	Any rhodologist knows that a rose by any other name does not smell as sweet.
rimestock	n	 1662 -1834	old almanac with runic writings	"He bought the old rimestock at auction, but was unaware of its calendric function."
riviation	n	 1676 -1676	fishing	"While anglers are the sort who enjoy quiet contemplation, I find riviation to be boring."
roblet	v	 1674 -1755	to lead astray	He roblets his intended victims in the old part of the city before mugging them.
rogalian	adj	 1656 -1656	of or pertaining to a great fire	The books' authors were rightly incensed at their works' rogalian fate under the censors.
rogitate	v	 1656 -1658	to ask frequently	"Are we there yet?, the kids rogitated, apparently unaware of their parents' frustration."
roomthily	adj	 1674 -1674	spatially; with respect to space	"His bachelor apartment is roomthily challenged, to say nothing of the smell."
rupography	n	 1838 -1838	art of taking impressions of coins or medals in sealing wax	"The police confiscated my rupography tools, thinking that I used them for forgery."
ruricolous	adj	 1730 -1858	living in the country or in fields	"Though the city has its attractions, I much prefer the quiet ruricolous life."
